id,name,sector,country,profile,ownership,coverage,illustrative
alderwick,Alderwick Systems,Enterprise software,United Kingdom,Sponsor-backed workflow software for industrial operators.,Illustrative sponsor; held since 2018,"{""registry"": true, ""company"": true, ""ownership"": true, ""financial"": true, ""news"": true}",True
luma,LumaForge Analytics,Enterprise software,United States,Private data infrastructure vendor expanding enterprise distribution.,Founder-led; growth-equity minority,"{""registry"": true, ""company"": true, ""ownership"": true, ""financial"": true, ""news"": true}",True
stonehaven,Stonehaven Packaging,Industrials,Germany,Specialist packaging producer with a leveraged capital structure.,Illustrative sponsor-backed business,"{""registry"": true, ""company"": true, ""ownership"": true, ""financial"": true, ""news"": true}",True
vesper,Vesper Harbor Health,Healthcare,United States,Regional outpatient services network with sparse public reporting.,Ownership not verified,"{""registry"": false, ""company"": false, ""ownership"": false, ""financial"": false, ""news"": true}",True
northmere,Northmere Components,Industrials,United Kingdom,Precision components producer supplying industrial equipment firms.,Illustrative sponsor; held since 2019,"{""registry"": true, ""company"": true, ""ownership"": true, ""financial"": false, ""news"": true}",True
cairn,Cairnlight Logistics,Business services,France,Contract logistics operator with a concentrated lender base.,Family-owned,"{""registry"": true, ""company"": true, ""ownership"": false, ""financial"": true, ""news"": true}",True
morrow,Morrowfield Digital,Enterprise software,United Kingdom,Vertical software group with conflicting transaction reports.,Illustrative sponsor-backed business,"{""registry"": true, ""company"": true, ""ownership"": true, ""financial"": false, ""news"": true}",True
tessel,Tesselbrook Networks,Enterprise software,Germany,Network operations software serving midsized businesses.,Founder-led,"{""registry"": true, ""company"": true, ""ownership"": false, ""financial"": false, ""news"": true}",True
bracken,Brackenvale Foods,Consumer,France,Established private ingredients manufacturer.,Family-owned,"{""registry"": true, ""company"": true, ""ownership"": true, ""financial"": true, ""news"": true}",True
orbital,Orbelune Diagnostics,Healthcare,United States,Early-stage diagnostic platform developing laboratory capacity.,Venture-backed,"{""registry"": false, ""company"": true, ""ownership"": true, ""financial"": false, ""news"": true}",True
elm,Elmridge Materials,Industrials,Germany,Private materials supplier with limited recent disclosure.,Ownership not verified,"{""registry"": false, ""company"": true, ""ownership"": false, ""financial"": false, ""news"": false}",True
solenne,Solenne Field Services,Business services,United Kingdom,Field maintenance network serving commercial facilities.,Founder-owned,"{""registry"": true, ""company"": true, ""ownership"": true, ""financial"": true, ""news"": true}",True
arden,Ardenvale Commerce,Consumer,United States,Private commerce platform whose listing timetable has changed.,Growth-equity backed,"{""registry"": true, ""company"": true, ""ownership"": false, ""financial"": true, ""news"": true}",True
fen,Fenwick Reach,Business services,France,Small private operations provider with almost no public coverage.,Ownership not verified,"{""registry"": false, ""company"": false, ""ownership"": false, ""financial"": false, ""news"": true}",True
